key,en,es
GAME_TITLE,In Our Minds: Mental Health and Videogames,In Our Minds: Salud Mental y Videojuegos
START_GAME,Start Game,Empezar Partida
GAME_OPTIONS,Options,Opciones
LANGUAGE_SELECTION,Language Selection,Selección de Idioma
LANGUAGE_ES,Spanish,Español
LANGUAGE_EN,English,Inglés
SCREEN_OPTIONS,Screen Options,Opciones de Pantalla
FULLSCREEN_MODE,Fullscreen,Pantalla Completa
SOUND_OPTIONS,Sound Options,Opciones de Sonido
MASTER_SLIDER,General,General
SFX_SLIDER,Sound Effects,Efectos de Sonido
MUSIC_SLIDER,Music,Música
EXIT_GAME,Exit Game,Salir del Juego
PAUSE_GAME,Pause,Pausa
CONTINUE_GAME,Continue,Continuar
EXIT_MAIN_MENU,Exit to Main Menu,Salir al Menu Principal
LEVEL_1_NAME,Basic Movement,Movimiento Básico
LEVEL_2_NAME,Basic Camera Turn,Movimiento Básico de Cámara
LEVEL_3_NAME,Impulse,Impulso
LEVEL_4_NAME,Fear and Isolation,Miedo y Aislamiento
LEVEL_5_NAME,Panic and Despair,Pánico y Desesperación
LEVEL_1_DESCRIPTION,"Welcome!! Here you will be able to explore some of the game mechanics. Start moving using ‘W,A,S,D’ and get to the finish line without falling. Press ‘Esc’ to exit to the main menu. Press ‘R’ to restart the level.","¡¡Bienvenido!! Aquí podrás explorarás algunas mecánicas de juego. Comienza desplazándote usando 'W,A,S,D' y llega hasta la linea de meta sin caerte. Pulsa 'Esc' para salir al menú principal. Pulsa 'R' para reiniciar el nivel"
LEVEL_2_DESCRIPTION,Rotate the camera using the mouse movement - it is important to see in which direction you are moving! The direction of the camera directly affects the movement.,Gira la cámara usando el movimiento del 'Mouse'. ¡Es importante ver en que dirección te mueves! La dirección de la camara afecta directamente al movimiento
LEVEL_3_DESCRIPTION,You can get an extra boost if you hold the 'Space bar' and release it. You have 3 boosts available that are recharged at the end of the level or restart it.,¡Puedes lograr un impulso extra si mantienes la 'Barra Espaciadora' y la sueltas. Tienes 3 impulsos disponibles que se recargan al finalizar el nivel o reiniciarlo.
LEVEL_4_DESCRIPTION,"Remember, you can restart the level at any time by pressing the 'R' key. The impulses are recharged when you restart. The difficulty will progressively increase. There is also a collectible in each level that links to a mental health resource - try to find it! ","Recuerda, puedes reiniciar el nivel en cualquier momento pulsando la tecla 'R'. Los impulsos se te recargan al reiniciar. La dificultad aumentará progresivamente. Además en cada nivel existe un coleccionable que enlaza con un recurso sobre salud mental. ¡Intenta encontrarlo! "
LEVEL_5_DESCRIPTION,LEVEL_5_DESCRIPTION,LEVEL_5_DESCRIPTION
CHAPTER_0,CHAPTER 0: TUTORIAL\nLearn the basic game mechanics before you start playing.,CAPÍTULO 0: TUTORIAL\nAprende la mecánica básica del juego antes de comenzar a jugar.
CHAPTER_1,"CHAPTER 1: THE BRAIN, THEATER OF EMOTION\nTo have feelings, a nervous system with the ability to project emotions into images is necessary. And last, but not least: we have to be aware in some way, of ourselves, of our self.","CAPÍTULO 1. EL CEREBRO, TEATRO DE LA EMOCIÓN EL CEREBRO, TEATRO DE LA EMOCIÓN\nPara tener sentimientos, es necesario un sistema nervioso con capacidad para proyectar emociones en imágenes. Y por último, pero no menos importante: tenemos que ser conscientes de alguna manera, de nosotros mismos, de nuestro yo."
CHAPTER_2,Thanks for playing!\nFor more information about the project and future updates check the GitHub link.,¡Gracias por Jugar!\nPara más información del proyecto y futuras actualizaciones consulta el enlace de GitHub.
